Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names,Number of Investors,Organization Description,Organization Industries
Series A - BibliU,https://www.crunchbase.com/funding_round/bibliotech-series-a--2f306673,"London, England, United Kingdom, Europe",BibliU,https://www.crunchbase.com/organization/bibliotech,Series A,500000,GBP,652273,2020-08-12,Angel Investment Network,1,"BibliU provides colleges and universities with digital content management, automation, and an analytics platform.","E-Learning, Higher Education, Publishing, Textbook"
Series A - InfoSum,https://www.crunchbase.com/funding_round/cognitive-logic-series-a--a0dc08fc,"Basingstoke, Hampshire, United Kingdom, Europe",InfoSum,https://www.crunchbase.com/organization/cognitive-logic,Series A,15100000,USD,15100000,2020-09-01,"Akamai Technologies, Ascential, Experian, IA Ventures, ITV, Upfront Ventures, Xandr",7,InfoSum provides a decentralized platform designed to remove the trust barriers between progress and privacy.,"Advertising, Big Data, Information Technology, Privacy, Security"
Series A - Osler Diagnostics,https://www.crunchbase.com/funding_round/osler-diagnostics-series-a--5a2eba8e,"Oxford, Oxfordshire, United Kingdom, Europe",Osler Diagnostics,https://www.crunchbase.com/organization/osler-diagnostics,Series A,30000000,GBP,38261987,2019-01-01,,,"Lab-quality diagnostics for anyone, anywhere, at any time.","Health Care, Health Diagnostics, Life Science"
Seed Round - Railsr,https://www.crunchbase.com/funding_round/railsbank-seed--24abc463,"London, England, United Kingdom, Europe",Railsr,https://www.crunchbase.com/organization/railsbank,Seed,1200000,USD,1200000,2017-08-09,"Chris Adelsbach, Firestartr, Kima Ventures, Peter Jackson, Phillip Riese, Tim Levene",6,Railsr is a fintech company that offers banking and wallet components.,"Banking, Credit Cards, Financial Services, FinTech"
Seed Round - Techspert,https://www.crunchbase.com/funding_round/biotechspert-ltd-seed--c3d6ea09,"Cambridge, Cambridgeshire, United Kingdom, Europe",Techspert,https://www.crunchbase.com/organization/biotechspert-ltd,Seed,237000,GBP,305410,2017-06-01,,,"Techspert is an AI-driven technology for identifying and sourcing specialist expertise, globally.","Artificial Intelligence, Consulting"
Seed Round - YOOBIC,https://www.crunchbase.com/funding_round/yoobic-seed--814e993b,"London, England, United Kingdom, Europe",YOOBIC,https://www.crunchbase.com/organization/yoobic,Seed,,,,2015-07-01,Petribox,1,"YOOBIC is an all-in-one platform for the deskless workforce to optimize communication, training, and process management.","Computer, Mobile, Retail Technology, Software"
Series A - Lifebit,https://www.crunchbase.com/funding_round/lifebit-ai-series-a--2fde52fd,"London, England, United Kingdom, Europe",Lifebit,https://www.crunchbase.com/organization/lifebit-ai,Series A,7500000,USD,7500000,2020-04-30,"Connect Ventures, Idinvest Partners, Pentech Ventures",3,"Lifebit CloudOS is the intelligent genomics platform that is the industry standard for unified, secure research over distributed big data.","Artificial Intelligence, Bioinformatics, Biotechnology, Cloud Data Services, Genetics, Life Science, Machine Learning, Pharmaceutical, Software"
Seed Round - Techspert,https://www.crunchbase.com/funding_round/biotechspert-ltd-seed--64dbf313,"Cambridge, Cambridgeshire, United Kingdom, Europe",Techspert,https://www.crunchbase.com/organization/biotechspert-ltd,Seed,25000,GBP,31438,2016-12-10,"Cambridge Angels group, Martlet Capital",2,"Techspert is an AI-driven technology for identifying and sourcing specialist expertise, globally.","Artificial Intelligence, Consulting"
Seed Round - Unified Technologies,https://www.crunchbase.com/funding_round/unified-technologies-ltd-seed--93034198,"London, England, United Kingdom, Europe",Unified Technologies,https://www.crunchbase.com/organization/unified-technologies-ltd,Seed,,,,2014-05-18,,,"Advanced indoor-location services, sensor-based analytics and workforce management solutions for buildings.","Analytics, Hotel, Indoor Positioning, Information Technology, Resorts"
Seed Round - Scoro,https://www.crunchbase.com/funding_round/scoro-seed--6ff34cef,"London, England, United Kingdom, Europe",Scoro,https://www.crunchbase.com/organization/scoro,Seed,1900000,USD,1900000,2016-08-23,"Alchemist Accelerator, Inventure, Tera Ventures",3,Scoro is an all-in-one business management software solution.,"Project Management, SaaS, Software"
