search URL:,https://patents.google.com/?assignee=Univ+Sheffield&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2016067264-A1,Medicament and method of diagnosis ,University Of Sheffield,John Newell-Price,2008-11-07,2015-11-13,2016-03-10,,https://patents.google.com/patent/US20160067264A1/en,https://patentimages.storage.googleapis.com/44/8b/c6/35ad6eb2c97c8a/US20160067264A1-20160310-D00001.png
GB-2501530-A,Rheometer and rheometric method ,Univ Sheffield,"William Bauer Jay Zimmerman, Julia Rees",2012-04-29,2012-04-29,2013-10-30,,https://patents.google.com/patent/GB2501530A/en,
US-2016254867-A1,Impact ionization devices under dynamic electric fields ,"Stc.Unm, The University Of Sheffield","Majeed M. Hayat, John P. David, Sanjay Krishna, Luke F. Lester, David A. Ramirez, Payman Zarkesh-Ha",2010-11-05,2016-05-06,2016-09-01,,https://patents.google.com/patent/US20160254867A1/en,https://patentimages.storage.googleapis.com/f1/b3/d4/35e2347a06f93d/US20160254867A1-20160901-D00000.png
WO-2013108024-A1,Aromatic compounds and methods of making the same ,The University Of Sheffield,"Joseph P.A. HARRITY, James D. KIRKHAM, Damien F. CREPIN",2012-01-17,2013-01-16,2013-07-25,,https://patents.google.com/patent/WO2013108024A1/en,
US-2016207948-A1,Phosphohistidine and phosphotyrosine analogues ,University Of Sheffield,"Richard Jackson, Richard Muimo, Matthew Lilley",2013-09-04,2014-09-02,2016-07-21,,https://patents.google.com/patent/US20160207948A1/en,https://patentimages.storage.googleapis.com/89/5d/46/5801d28b48903f/US20160207948A1-20160721-D00001.png
GB-2487672-A,Active sensory augmentation device ,Univ Sheffield,"Anthony Jason Prescott, Thomas Benjamin Mitchinson",2011-01-31,2012-01-31,2012-08-01,,https://patents.google.com/patent/GB2487672A/en,
US-2015311758-A1,Electric machines ,The University Of Sheffield,Jiabin Wang,2012-11-30,2013-11-29,2015-10-29,,https://patents.google.com/patent/US20150311758A1/en,https://patentimages.storage.googleapis.com/69/f3/3f/513b190b099d42/US20150311758A1-20151029-D00000.png
WO-2012168743-A2,Bacteria ,The University Of Sheffield,"Stephen R.P. JAFFÉ, Gregory J.S. FOWLER, Ana G. PEREIRA-MEDRANO, Phillip C. WRIGHT",2011-06-10,2012-06-11,2012-12-13,,https://patents.google.com/patent/WO2012168743A2/en,
WO-2012123693-A1,Method and system for producing prostheses ,"Fripp Design & Research Limited, The University Of Sheffield","Richard Van Noort, Dr Julian YATES, Tom FRIPP, David WILDGOOSE",2011-03-15,2012-03-01,2012-09-20,,https://patents.google.com/patent/WO2012123693A1/en,
EP-2844308-A1,Scaffold ,The University Of Sheffield,"Frederik Claeyssens, Ilida ORTEGA, Sheila Macneil, Anthony Ryan",2012-05-02,2013-05-01,2015-03-11,,https://patents.google.com/patent/EP2844308A1/en,
US-10801027-B2,Inhibitors of SRSF1 to treat neurodegenerative disorders ,University Of Sheffield,"Guillaume Hautbergue, Mimoun Azzouz, Alexander Whitworth, Pamela Shaw",2016-06-01,2017-05-30,2020-10-13,2020-10-13,https://patents.google.com/patent/US10801027B2/en,https://patentimages.storage.googleapis.com/3a/e1/e7/9ad89f6ed31787/US10801027-20201013-D00001.png
WO-2017121984-A1,Photoactive polymer-perovskite composite materials ,Sheffield Hallam University,Heming Wang,2016-01-12,2016-12-22,2017-07-20,,https://patents.google.com/patent/WO2017121984A1/en,
US-10280197-B2,Discovery of the first selective C5A receptor 2 (C5L2/C5AR2) ligands ,"The Regents Of The University Of California, The Texas A & M University System, The University Of Queensland, The University Of Sheffield","Dimitrios Monikis, Christodoulos Floudas, Trent WOODRUFF, Matthew A. Cooper, Daniel E. Croker, Peter N. Monk",2015-10-16,2016-10-17,2019-05-07,2019-05-07,https://patents.google.com/patent/US10280197B2/en,https://patentimages.storage.googleapis.com/85/8c/ea/e8511603bfa678/US10280197-20190507-D00001.png
US-2021108173-A1,Method for producing otic progenitors ,The University Of Sheffield,"Carlos Marcelo Nicolas RIVOLTA, Darrell Michael BARROTT",2015-03-31,2020-10-21,2021-04-15,,https://patents.google.com/patent/US20210108173A1/en,https://patentimages.storage.googleapis.com/39/54/9c/ab1437f3c0b3cf/US20210108173A1-20210415-D00000.png
HK-1169854-A1,Improvements to matrix assisted laser desorption ionisation mass spectrometry imaging (maldi-msi) ,Univ Sheffield Hallam,"Leesa Susanne Ferguson, Rosalind Wolstenholme, Simona Francese",2011-03-09,2012-10-16,2013-02-08,,https://patents.google.com/patent/HK1169854A1/en,
WO-2011030156-A3,Collection of electromagnetic radiation emitted from particle-irradiated samples ,University Of Sheffield,Thomas Walther,2009-09-10,2010-09-10,2011-05-05,,https://patents.google.com/patent/WO2011030156A3/en,
EP-2991793-A1,Mill turn machine ,The University Of Sheffield,"Matthew FARNSWORTH, Adam Brown, Daniel James Smith",2013-04-29,2014-04-29,2016-03-09,,https://patents.google.com/patent/EP2991793A1/en,
EP-2981268-A1,Therapeutic uses of bisphosphonates ,The University Of Sheffield,"Robert Graham Goodwin Russell, Ilaria BELLANTUONO",2013-04-02,2014-04-01,2016-02-10,,https://patents.google.com/patent/EP2981268A1/en,
US-2017088851-A1,Methods for improving abiotic stress response ,"The Regents Of The University Of California, The University Of Nottingham, The University Of Sheffield","Julia Baily-Serres, Michael Holdsworth, Julie Gray",2011-10-21,2016-08-05,2017-03-30,,https://patents.google.com/patent/US20170088851A1/en,https://patentimages.storage.googleapis.com/38/cc/f9/eac785216aee19/US20170088851A1-20170330-D00001.png
US-2021113534-A1,Compounds ,The University Of Sheffield,"Gareth Richards, Timothy M. Skerry, Joseph P.A. Harrity, Jean-Olivier Zirimwabagabo, Matthew J. Tozer, Karl Richard Gibson, Roderick Alan Porter, Paul Matthew Blaney, Paul Alan Glossop",2017-05-17,2018-05-16,2021-04-22,,https://patents.google.com/patent/US20210113534A1/en,
