search URL:,https://patents.google.com/?assignee=Univ+Bristol&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2013287803-A1,Novel uses of vegfxxxb ,The University Of Bristol,"David Bates, Lucy Donaldson, Steven James Harper, Jing Hua",2008-02-29,2013-04-30,2013-10-31,,https://patents.google.com/patent/US20130287803A1/en,https://patentimages.storage.googleapis.com/da/24/5b/1ca74642e5c3ab/US20130287803A1-20131031-D00001.png
WO-2015114379-A1,A low background raman probe for optical biopsy of brain tissue ,The University Of Bristol,"John Charles Clifford Day, Oliver Andrew Charles Stevens",2014-01-31,2015-02-02,2015-08-06,,https://patents.google.com/patent/WO2015114379A1/en,
WO-2017187114-A1,Improvements in 3d printing ,The University Of Bristol,"Adam PERRIMAN, James Armstrong, Madeline BURKE, Benjamin Carter",2016-04-29,2016-10-28,2017-11-02,,https://patents.google.com/patent/WO2017187114A1/en,
IL-218358-A0,Method for the production of polyunsaturated fatty acids ,Univ Bristol,,2002-12-19,2012-02-28,2012-04-30,,https://patents.google.com/patent/IL218358A0/en,
JP-2013029527-A,Methods and apparatus for measuring internal structure of object ,"Univ Bristol, ザ・ユニヴァーシティ・オブ・ブリストル","Craddock Ian, イアン・クレイドック, William Preece Alan, アラン・ウィリアム・プリ−ス, Nilavalan Rajagopal, ラジャゴパル・ニラヴァラン, Albert Leendertz Jack, ジャック・アルバート・リーンダーツ, Benjamin Ralph, ラルフ・ベンジャミン, John Wilson Frederick, フレデリック・ジョン・ウィルソン",2005-02-09,2012-11-05,2013-02-07,,https://patents.google.com/patent/JP2013029527A/en,https://patentimages.storage.googleapis.com/4b/b9/3d/18b4d4363d647e/2013029527-8.png
CN-103518282-A,Microbial fuel cell ,英国西英格兰大学，布里斯托尔,"J·格伦曼, A·I·耶罗普洛斯",2011-03-09,2012-03-09,2014-01-15,,https://patents.google.com/patent/CN103518282A/en,https://patentimages.storage.googleapis.com/0c/70/c1/35a82d685c4e3d/HDA0000411799610000051.png
US-2016090401-A1,Self-assembling peptide cages from coiled-coil peptide modules ,The University Of Bristol,"Dek Woolfson, Paula Booth, Jordan Fletcher, Richard Sessions, Noah Linden",2013-04-11,2014-04-11,2016-03-31,,https://patents.google.com/patent/US20160090401A1/en,https://patentimages.storage.googleapis.com/d5/c2/09/0854cfbee6fa1a/US20160090401A1-20160331-D00001.png
GB-2497035-B,Method of authentication ,Univ Bristol,"John Barham Peter, Burghardt Tilo",2010-08-11,2011-08-11,2017-10-25,2017-10-25,https://patents.google.com/patent/GB2497035B/en,
WO-2017174663-A1,Non-contact apparatus and method for capturing skin surface image data ,"University Of The West Of England, Bristol","Abdul Farooq, Melvyn Smith, Lyndon Smith",2016-04-06,2017-04-05,2017-10-12,,https://patents.google.com/patent/WO2017174663A1/en,
US-9937272-B2,Anthracenyl-tetralactam macrocycles and their use in detecting a target saccharide ,University Of Bristol,"Chenfeng Ke, Anthony P. Davis",2012-04-27,2017-02-28,2018-04-10,2018-04-10,https://patents.google.com/patent/US9937272B2/en,https://patentimages.storage.googleapis.com/be/2c/74/22a61c82d742c8/US09937272-20180410-D00001.png
