search URL:,https://patents.google.com/?assignee=Univ+Bath&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
GB-202217839-D0,Cyclic-moiety containing compounds and polymers comprising the same ,Univ Bath,,2022-11-28,2022-11-28,2023-01-11,,https://patents.google.com/patent/GB202217839D0/en,
GB-202208499-D0,Composition ,"Cellesce Ltd, Univ Bath",,2022-06-10,2022-06-10,2022-07-27,,https://patents.google.com/patent/GB202208499D0/en,
GB-201504645-D0,Layered semiconductor materials and methods of fabrication ,Univ Bath,,2015-03-19,2015-03-19,2015-05-06,,https://patents.google.com/patent/GB201504645D0/en,
GB-202207058-D0,"Apparatus, method and system relating to aircraft systems ",Univ Bath,,2018-05-18,2018-05-18,2022-06-29,,https://patents.google.com/patent/GB202207058D0/en,
GB-202205499-D0,Microfluidic device and system for contamination monitoring ,Univ Bath,,2022-04-04,2022-04-13,2022-05-25,,https://patents.google.com/patent/GB202205499D0/en,
GB-201903878-D0,Synthetic cannabinoid detection ,Univ Bath,,2019-03-21,2019-03-21,2019-05-08,,https://patents.google.com/patent/GB201903878D0/en,
GB-201507537-D0,Composite elastic wave waveguide ,Univ Bath,,2015-05-01,2015-05-01,2015-06-17,,https://patents.google.com/patent/GB201507537D0/en,
GB-201107189-D0,Fusion proteins ,"Tmo Renewables Ltd, Univ Bath",,2011-04-28,2011-04-28,2011-06-15,,https://patents.google.com/patent/GB201107189D0/en,
GB-201114701-D0,Fusion proteins ,"Tmo Renewables Ltd, Univ Bath",,2011-08-25,2011-08-25,2011-10-12,,https://patents.google.com/patent/GB201114701D0/en,
WO-2010131018-A1,Double photonic bandgap hollow core photonic crystal fibre ,University Of Bath,Fetah Benabid,2009-05-15,2010-05-17,2010-11-18,,https://patents.google.com/patent/WO2010131018A1/en,
GB-201208285-D0,Impactor and collection cup for impactor ,Univ Bath,,2012-05-11,2012-05-11,2012-06-20,,https://patents.google.com/patent/GB201208285D0/en,
GB-201218838-D0,Coating substrates ,"Pilkington Group Ltd, Univ Bath",,2012-10-19,2012-10-19,2012-12-05,,https://patents.google.com/patent/GB201218838D0/en,
GB-201222798-D0,Substrates for semiconductor devices ,"Element Six Ltd, Univ Bath",,2012-12-18,2012-12-18,2013-01-30,,https://patents.google.com/patent/GB201222798D0/en,
GB-201322307-D0,Methods and products for predicting virulence and/or toxicity of an MRSA pathogen ,Univ Bath,,2013-12-17,2013-12-17,2014-01-29,,https://patents.google.com/patent/GB201322307D0/en,
GB-201415042-D0,Methods and products for predicting virulence and/or toxicity of an MRSA pathogen ,Univ Bath,,2014-08-26,2014-08-26,2014-10-08,,https://patents.google.com/patent/GB201415042D0/en,
GB-201611045-D0,Compounds for treating trypanosomal infections ,Univ Of Bath The,,2016-06-24,2016-06-24,2016-08-10,,https://patents.google.com/patent/GB201611045D0/en,
