search URL:,https://patents.google.com/?assignee=Univ+Birmingham&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-112135823-A,Luminescent compounds ,伯明翰大学,"亚历克斯·罗宾逊, 乔恩·普里斯, 格雷戈里·奥卡拉汉, 卡罗利斯·维兹比卡斯, 欧文·琼斯, 丹尼斯·赵, 迈克尔·巴特林, 萨里纳·松德",2018-03-21,2019-03-21,2020-12-25,,https://patents.google.com/patent/CN112135823A/en,https://patentimages.storage.googleapis.com/6f/a9/aa/52b6dda500d56e/HDA0002785114030000051.png
US-2014194466-A1,Perhexiline for use in the treatment of hypertrophic cardiomyopathy (hcm) ,The University Of Birmingham,"Houman Ashrafian, Michael Paul Frenneaux",2009-05-13,2014-02-21,2014-07-10,,https://patents.google.com/patent/US20140194466A1/en,https://patentimages.storage.googleapis.com/c8/66/58/3d3431c9d8dd71/US20140194466A1-20140710-D00001.png
CN-104756314-A,Reconfigurable antenna ,伯明翰大学,"胡振华, 彼得·哈尔",2012-07-31,2013-07-12,2015-07-01,,https://patents.google.com/patent/CN104756314A/en,
CN-112368198-A,Vehicle power management system and method ,伯明翰大学,"徐宏明, 周泉",2018-06-29,2019-06-20,2021-02-12,,https://patents.google.com/patent/CN112368198A/en,https://patentimages.storage.googleapis.com/27/7b/6d/fe21767ea93e88/HDA0002860895280000011.png
CA-2756179-A1,Platinum group metal recovery from powdery waste ,"The University Of Birmingham, Angela Janet Murray",Angela Janet Murray,2009-03-27,2010-03-25,2010-09-30,,https://patents.google.com/patent/CA2756179A1/en,
US-2015102969-A1,Reconfigurable antenna ,The University Of Birmingham,"Peter Chun Teck Song, Peter Hall, James Robert Kelly",2009-10-21,2014-10-30,2015-04-16,,https://patents.google.com/patent/US20150102969A1/en,https://patentimages.storage.googleapis.com/83/9a/b9/64437be7e953a2/US20150102969A1-20150416-D00000.png
GB-201407934-D0,Formulation ,Univ Birmingham,,2014-05-06,2014-05-06,2014-06-18,,https://patents.google.com/patent/GB201407934D0/en,
GB-201309156-D0,Grasp modelling ,Univ Birmingham,,2013-05-21,2013-05-21,2013-07-03,,https://patents.google.com/patent/GB201309156D0/en,
EP-3724695-A1,Gravity gradiometer ,The University of Birmingham,"Andrew Lamb, Geoff DE VILLIERS, Michael HOLYNSKI, Kai BONGS",2017-12-15,2018-12-14,2020-10-21,,https://patents.google.com/patent/EP3724695A1/en,
EP-3016969-A1,Immunotherapy ,The University Of Birmingham,"Mark Cobbold, David Millar",2013-07-05,2014-07-04,2016-05-11,,https://patents.google.com/patent/EP3016969A1/en,
GB-201112839-D0,Multi-output antenna ,Univ Birmingham,,2011-07-26,2011-07-26,2011-09-07,,https://patents.google.com/patent/GB201112839D0/en,
AU-2016215604-B2,Targeting moiety peptide epitope complexes having a plurality of T-cell epitopes ,The University Of Birmingham,"Mark Cobbold, David Millar",2015-02-02,2016-02-01,2020-08-13,2020-08-13,https://patents.google.com/patent/AU2016215604B2/en,
GB-201608885-D0,Treatment ,Univ Birmingham,,2016-05-20,2016-05-20,2016-07-06,,https://patents.google.com/patent/GB201608885D0/en,
US-2022362145-A1,Therapeutic hydrogel compositions ,The University Of Birmingham,"Liam Grover, Anthony METCALFE, Richard Williams, Richard Moakes",2018-12-07,2019-12-09,2022-11-17,,https://patents.google.com/patent/US20220362145A1/en,https://patentimages.storage.googleapis.com/b1/26/59/88b54f879a0d7b/US20220362145A1-20221117-D00000.png
CN-104302583-A,Reactor for substrate oxidation ,伯明翰大学,布沙拉·阿杜利,2012-02-23,2013-02-19,2015-01-21,,https://patents.google.com/patent/CN104302583A/en,
GB-201608060-D0,Method of culturing T cells ,Univ Birmingham,,2016-05-09,2016-05-09,2016-06-22,,https://patents.google.com/patent/GB201608060D0/en,
WO-2010086587-A1,Multifunctional antenna ,The University Of Birmingham,"Peter Hall, Farid Ghanem",2009-01-29,2010-01-21,2010-08-05,,https://patents.google.com/patent/WO2010086587A1/en,
HK-1204868-A1,Animal feed supplement and assay method ,Univ Birmingham,"Rosemary Waring, John Hunter",2012-03-14,2015-06-19,2015-12-11,,https://patents.google.com/patent/HK1204868A1/en,
JP-2021013031-A,Magnet manufacturing ,"ザ ユニバーシティ オブ バーミンガム, Univ Birmingham, ザ  ユニバーシティ  オブ  バーミンガム","レックス ハリス，アイヴァー, Rex Harris Ivor, レックス ハリス，アイヴァー, ウォルトン，アラン, Walton Allan, ピーター ブルックス，オリバー, Peter Brooks Oliver, ピーター ブルックス，オリバー",2015-07-01,2020-10-01,2021-02-04,,https://patents.google.com/patent/JP2021013031A/en,
US-2022308069-A1,Markers for atrial fibrillation (af) ,University Of Birmingham,"Larissa Fabritz, Paulus Kirchhof",2014-07-23,2021-12-07,2022-09-29,,https://patents.google.com/patent/US20220308069A1/en,https://patentimages.storage.googleapis.com/a5/52/d0/b0b4837c3eb4c2/US20220308069A1-20220929-D00001.png
WO-2011077073-A1,Double emulsions ,The University Of Birmingham,"Fotis Spyropoulis, Ian Timothy Norton, Sarah Frasch-Melnik",2009-12-24,2010-12-15,2011-06-30,,https://patents.google.com/patent/WO2011077073A1/en,
WO-2017037408-A1,Method for antigen detection ,The University Of Birmingham,"Zoe PIKREMENOU, Mark Trehane Drayson",2015-09-04,2016-09-05,2017-03-09,,https://patents.google.com/patent/WO2017037408A1/en,
US-2014295550-A1,Hla peptide therapy ,The University Of Birmingham,"Simon Ball, Bernard Maillere",2006-05-09,2014-02-19,2014-10-02,,https://patents.google.com/patent/US20140295550A1/en,https://patentimages.storage.googleapis.com/b0/88/8b/7e6a8257480954/US20140295550A1-20141002-D00001.png
US-2015376701-A1,Biomarkers of autoimmune and/or chronic diseases associated with joint inflammation ,The University Of Birmingham,"Dagmar Scheel-Toellner, Lorraine Yeo, Karim Raza, Andrew Filer, Christopher Buckley",2013-01-31,2014-01-30,2015-12-31,,https://patents.google.com/patent/US20150376701A1/en,https://patentimages.storage.googleapis.com/f5/3a/a3/eadd712651c873/US20150376701A1-20151231-D00001.png
GB-2535515-A,Metasurface for control of light propogation ,"Univ Birmingham, Univ Paderborn","Zhang Shuang, Zheng Guoxing, Zentgraf Thomas, Muhlenbernd Holger",2015-02-19,2015-02-19,2016-08-24,,https://patents.google.com/patent/GB2535515A/en,
CN-112154143-A,Luminescent compounds ,伯明翰大学,"亚历克斯·罗宾逊, 乔恩·普里斯, 格雷戈里·奥卡拉汉, 卡罗利斯·维兹比卡斯, 欧文·琼斯, 丹尼斯·赵, 迈克尔·巴特林, 萨里纳·松德",2018-03-21,2019-03-21,2020-12-29,,https://patents.google.com/patent/CN112154143A/en,https://patentimages.storage.googleapis.com/24/90/6d/012b0bfcf3e061/HDA0002785120070000012.png
AU-2013319980-B2,Agents and methods ,The University Of Birmingham,"Mark Cobbold, David Millar",2012-09-18,2013-09-17,2017-02-09,2017-02-09,https://patents.google.com/patent/AU2013319980B2/en,
EP-2481103-A1,Ultrasound transducer array ,"University Of Dundee, University Of Birmingham (GB), The Institute of Cancer Research","Sandy Cochran, Christine Demore, Luis Garcia-Gancedo, Timothy Button, Jeff Bamber",2009-09-21,2010-09-21,2012-08-01,,https://patents.google.com/patent/EP2481103A1/en,
EP-2870269-B1,Method for Producing Long-Lasting Antibacterial Metallic Surfaces ,The University of Birmingham,"Hanshan Dong, Xiaoying Li, Yangchun DONG, Linhai TIAN",2012-07-05,2013-07-02,2020-09-02,2020-09-02,https://patents.google.com/patent/EP2870269B1/en,https://patentimages.storage.googleapis.com/14/e6/fd/932f7aff74a0a5/imgf0001.png
WO-2021181116-A1,Method of manufacturing a medical device ,"Johnson Matthey Public Limited Company, The University Of Birmingham","Moataz ATTALLAH, Parastoo JAMSHIDI, Hugh Hamilton",2020-03-12,2021-03-12,2021-09-16,,https://patents.google.com/patent/WO2021181116A1/en,
US-2020253540-A1,Method for Predicting Pain Sensitivity ,"University Of Baltimore, Maryland, The University Of Birmingham","David A. Seminowicz, Andrew J. Furman, Ali Mazaheri",2017-11-02,2020-05-01,2020-08-13,,https://patents.google.com/patent/US20200253540A1/en,https://patentimages.storage.googleapis.com/f0/eb/22/2afc0254b5be8f/US20200253540A1-20200813-D00000.png
WO-2014191718-A1,Nuclear battery ,University Of Birmingham,"Michael Ward, David CHENELER",2013-05-29,2014-05-16,2014-12-04,,https://patents.google.com/patent/WO2014191718A1/en,
US-10138261-B2,Ferrocenyl compounds ,The University Of Birmingham Edgbaston,"Chris Tselepis, James Tucker, Huy Van Nguyen, Nikolas John Hodges, Youcef Mehellou",2013-12-20,2014-12-19,2018-11-27,2018-11-27,https://patents.google.com/patent/US10138261B2/en,https://patentimages.storage.googleapis.com/da/57/ef/a5d487eb2bc554/US10138261-20181127-D00001.png
US-9943598-B2,Nanoparticles with attached DNA repair inhibitors and nuclear localisation signal elements ,The University Of Birmingham Edgbaston,Boris Kysela,2012-05-29,2013-05-28,2018-04-17,2018-04-17,https://patents.google.com/patent/US9943598B2/en,https://patentimages.storage.googleapis.com/b8/bd/34/aff20b7f38ed92/US09943598-20180417-D00000.png
WO-2016135509-A1,Ventilator system ,"University Hospitals Birmingham Nhs, The University Of Birmingham","Michael Parkes, Stuart Green, Thomas CLUTTON-BROCK",2015-02-27,2016-02-26,2016-09-01,,https://patents.google.com/patent/WO2016135509A1/en,
EP-3590184-A1,Elimination of commutation failure of lcc hvdc system ,The University of Birmingham,"Xiao-Ping Zhang, Ying XUE",2017-03-03,2018-03-01,2020-01-08,,https://patents.google.com/patent/EP3590184A1/en,
IL-230441-A0,Diagnosis of alzheimer's disease ,"Univ Birmingham, Zsuzsanna Nagy",,2011-07-15,2014-01-13,2014-03-31,,https://patents.google.com/patent/IL230441A0/en,
GB-202018397-D0,Improving congnitive function ,"Univ Birmingham, Univ Dalhousie",,2020-11-23,2020-11-23,2021-01-06,,https://patents.google.com/patent/GB202018397D0/en,
CN-108753012-A,A kind of environmentally friendly microcapsules and preparation method thereof containing antifouling property ,"广州高澜节能技术股份有限公司, 伯明翰大学, 华南理工大学","卢志敏, 张晓彤, 胡剑峰, 文玉良, 张志兵, 瞿金清",2018-01-04,2018-01-04,2018-11-06,,https://patents.google.com/patent/CN108753012A/en,
EP-2828658-A1,Methods of identifying hit-antibodies and pf4 antagonists and cell lines for use therein ,"The Trustees Of The University Of Pennsylvania, The University Of Birmingham","Steve P. Watson, Bruce SACHAIS, Douglas B. Cines",2012-03-23,2013-03-15,2015-01-28,,https://patents.google.com/patent/EP2828658A1/en,
CA-3175049-A1,Novel nutrients to enhance load-induced muscle hypertrophy ,"The Regents Of The University Of California, Keith Baar, Andrew PHILP, Simon SCHENK, The University Of Birmingham","Keith Baar, Andrew PHILP, Simon SCHENK",2020-03-10,2021-01-15,2021-04-15,,https://patents.google.com/patent/CA3175049A1/en,
EP-3818064-A1,Phosphoantigen prodrug compounds ,"University College Cardiff Consultants, Ltd., University of Birmingham","Youcef MEHELLOU, Benjamin WILLCOX",2018-07-04,2019-07-03,2021-05-12,,https://patents.google.com/patent/EP3818064A1/en,
WO-2019038555-A3,Tat expression system ,"The University Of Birmingham, The University Of Kent","Douglas Browning, Colin Robinson",2017-08-25,2018-08-23,2019-04-04,,https://patents.google.com/patent/WO2019038555A3/en,
WO-2020212692-A1,Hafnium and zirconium diboride containing ceramics ,The University Of Birmingham,"Jon Binner, William HILLMAN",2019-04-15,2020-04-14,2020-10-22,,https://patents.google.com/patent/WO2020212692A1/en,
