search URL:,https://patents.google.com/?assignee=Univ+Leeds&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2978890-B1,Novel method for coloration and treatment of substrates ,University Of Leeds,Stephen Martin Burkinshaw,2013-03-25,2014-03-25,2019-06-19,2019-06-19,https://patents.google.com/patent/EP2978890B1/en,https://patentimages.storage.googleapis.com/d9/3d/7f/867a25168700d7/imgf0001.png
EP-2625745-A1,Reflective substrate ,The University Of Leeds,"David Paul Steenson, Stephen John Russell",2010-10-05,2011-10-05,2013-08-14,,https://patents.google.com/patent/EP2625745A1/en,
EP-2726111-A2,Microbubble generation ,The University Of Leeds,"Sally Anne PEYMAN, Radwa Hassan ABOU-SALEH, Stephen Derek EVANS",2011-06-29,2012-06-29,2014-05-07,,https://patents.google.com/patent/EP2726111A2/en,
CA-2797441-A1,Process for the capture of carbon dioxide ,"The University Of Leeds, Christopher Mark Rayner, Guillaume Robert Jean-Francois Raynel","Christopher Mark Rayner, Guillaume Robert Jean-Francois Raynel",2010-04-28,2011-04-28,2011-11-03,,https://patents.google.com/patent/CA2797441A1/en,
AU-2014215934-B2,Tissue engineered constructs ,"University Of Leeds, Xiros Limited","Scott FINLAY, Bahaa Botros Seedhom",2014-06-25,2014-08-19,2016-08-11,2016-08-11,https://patents.google.com/patent/AU2014215934B2/en,
WO-2022101361-A2,Automated assessment of wound tissue ,"Astrazeneca Ab, University Of Leeds","Yinhai Wang, Adrian Mark FREEMAN",2019-11-12,2021-11-11,2022-05-19,,https://patents.google.com/patent/WO2022101361A2/en,
US-2022031706-A1,Trpc ion channel inhibitors for use in therapy ,University Of Leeds,"David John BEECH, Richard James FOSTER, Sin Ying CHEUNG, Baptiste Michel RODE",2017-02-09,2021-10-15,2022-02-03,,https://patents.google.com/patent/US20220031706A1/en,https://patentimages.storage.googleapis.com/ae/7e/78/d878087179d816/US20220031706A1-20220203-D00000.png
WO-2011007185-A1,Generating and detecting radiation ,"University Of Leeds, The Centre For Integrated Photonics Ltd","Edmund Linfield, John Cunningham, Alexander Giles Davies, Christopher Wood, Paul John Cannard, David Graham Moodie, Xin Chen, Michael James Robertson",2009-07-17,2010-07-19,2011-01-20,,https://patents.google.com/patent/WO2011007185A1/en,
US-2017143813-A1,Methods and materials for treating cancer ,"Mayo Foundation For Medical Education And Research, University Of Leeds","Jose S. Pulido, Richard G. Vile, Timothy J. Kottke, Alan A. Melcher, Peter Selby",2012-03-15,2016-11-22,2017-05-25,,https://patents.google.com/patent/US20170143813A1/en,https://patentimages.storage.googleapis.com/35/39/0f/e68bcf11bc167c/US20170143813A1-20170525-D00001.png
US-2016377571-A1,Biosensor ,University Of Leeds,"Laurence Andrew Nelson, Zachary Coldrick",2007-07-31,2016-01-19,2016-12-29,,https://patents.google.com/patent/US20160377571A1/en,https://patentimages.storage.googleapis.com/df/db/c3/78a0844e204588/US20160377571A1-20161229-D00001.png
